Name mit Ort,Name ohne Ort,Ort,GKZ,Globale ID,MVTT X,MVTT Y,WGS84 X,WGS84 Y
301,Pelkovenstrasse,Pelkovenstrasse,Muenchen,9162000,de:09162:301,4463781,821766,48..18106732,11..51150039
302,Hugo-Troendle-Strasse,Hugo-Troendle-Strasse,Muenchen,9162000,de:09162:302,4464022,821962,48..1793184,11..51475771
303,Wintrichring,Wintrichring,Muenchen,9162000,de:09162:303,4464559,822357,48..17579639,11..52201143
304,Hanauer Strasse,Hanauer Strasse,Muenchen,9162000,de:09162:304,4465020,822722,48..17253952,11..52823989
305,Borstei,Borstei,Muenchen,9162000,de:09162:305,4465375,823042,48..16968122,11..53303885
306,Olympiapark West,Olympiapark West,Muenchen,9162000,de:09162:306,4465733,823468,48..16586962,11..53788616
307,Heideckstrasse,Heideckstrasse,Muenchen,9162000,de:09162:307,4466053,823803,48..16287414,11..54221469
307,Goethe-Institut,Goethe-Institut,Muenchen,9162000,de:09162:307,4466053,823803,48..16287414,11..54221469
308,Gartenstrasse,Gartenstrasse,Muenchen,9162000,de:09162:308,4467750,822770,48..17225243,11..56494769
309,Ackermannstrasse,Ackermannstrasse,Muenchen,9162000,de:09162:309,4467744,823253,48..16790848,11..56490372
310,Fasanerie,Fasanerie,Muenchen,9162000,de:09162:310,4464759,820011,48..19690504,11..52450568
311,Herzogstrasse,Herzogstrasse,Muenchen,9162000,de:09162:311,4467687,823747,48..16346301,11..56417502
312,Georg-Brauchle-Ring,Georg-Brauchle-Ring,Muenchen,9162000,de:09162:312,4465085,822294,48..1763921,11..5290786
313,Ehrenbreitsteiner Strasse,Ehrenbreitsteiner Strasse,Muenchen,9162000,de:09162:313,4465066,821080,48..18730854,11..5287232
314,Riesstrasse,Riesstrasse,Muenchen,9162000,de:09162:314,4465381,821373,48..18469086,11..5329834
316,Bingener Strasse,Bingener Strasse,Muenchen,9162000,de:09162:316,4464504,821645,48..18219632,11..52121238
318,Olympia-Einkaufszentrum West,Olympia-Einkaufszentrum West,Muenchen,9162000,de:09162:318,4465263,821446,48..18402792,11..53140253
319,Olympia-Einkaufszentrum Ost,Olympia-Einkaufszentrum Ost,Muenchen,9162000,de:09162:319,4465666,821541,48..18319552,11..53682964
